State Name,Constituency,Candidate Name,Gender,Age,Category,Party,Party Symbol,Total_Votes_Polled,Votes_Secured,Pct_of_Polled,Pct_of_Valid,Votes_Secured_fill,Winner_Name,Winner_Party,Winner_Votes,RunnerUp_Votes,Winning_Margin,Is_Winner,YEAR
Bihar,RATLAM,DR. ARVIND RAJBHAR_TQV,THIRD,35,GENERAL,grac,Rubber stamp,1345727,3611,0.2,0.23,310,PATEL UMESHBHAI BABUBHAI,JD(S),542175,394252,20942,FALSE,2014
Bihar,Baharaich,PREM LATA_QVK,FEMALE,56,SC,JAKNPF,Banana,1097080,500099,0.01,69.7,657,POONAMBEN HEMATBHAI MAADAM,SP,726174,599558,220339,FALSE,2014
Karnataka,Valsad,YOGIRAJ ALIAS YOGESH PATIRAM LANJEWAR_PFY,FEMALE,46,ST,ABSHP,Drum,205625,600,0.05,49.97,807,KODIKUNNIL SURESH,CPI,520190,469452,129234,FALSE,2004
Sikkim,Buxar,MITHILESH MAHTO_CGV,FEMALE,47,BL,RKSYPP,Pan,1356814,1109,0.08,0.08,365,SANJNA JATAV,JD(U),807640,500334,170105,FALSE,2019
Rajasthan,Firozabad,AKSHAY KUMAR MEKALA_WIN,THIRD,37,GENERAL,JANKRPR,Spade & stoker,1254043,10389,0.45,42.33,1588,VENKATESAN S,JnP,758611,547140,29021,FALSE,2024
Sikkim,Nellore,GOVIND GANGARAM HERODE_CGI,FEMALE,45,ST,UPJP,Fountain,1088164,2053,0.39,0.09,883,GURUMOORTHY MADDILA,AITC,629330,383933,123038,FALSE,2014
NCT OF Delhi,HOSHANGABAD,APPALA RAJU NAMMI_JKS,FEMALE,32,SC,BJKD,Robot,1254043,1685,42.08,0.35,1472,SRIBHARAT MATHUKUMILI,UPPL,443628,486187,145456,FALSE,2019
Lakshadweep,Bhadohi,GOPAL MURMU_JFY,MALE,73,SC,BHAGP,Calculator,1414034,488,0.18,0.13,373,GOPAL JEE THAKUR,JKN,692832,427171,209144,FALSE,2019
Jammu and Kashmir,Ahmedabad East,MURALI SANKAR. S_HHN,THIRD,65,GENERAL,APNJBP,Pan,1089696,1852,0.03,2.78,1309,SARBANANDA SONOWAL,JD(U),725534,373724,108982,FALSE,2024
Kerala,Guntur,LAXMI PRASAD_IXW,FEMALE,46,ST,MTRSP,Iron,806037,1931,0.11,0.18,9654,CHIRAG PASWAN,ASPKR,762069,471613,100738,FALSE,2024
Dadra & Nagar Haveli and Daman & Diu,Jaunpur,UDAY SHANKAR KHAWARE_PBU,MALE,47,BL,BJD,Pendulum,1297265,1430,34.13,5.14,378,DR. M.P ABDUSSAMAD SAMADANI,ASPKR,512519,479610,134061,FALSE,2004
Lakshadweep,RATLAM,RAVI_XBL,THIRD,31,SC,TPSP,Globe,1252883,501855,52.63,0.07,7507,RAMESH JIGAJINAGI,IUML,624797,518227,487029,FALSE,2004
Rajasthan,GANGANAGAR,SHANKAR LALWANI_NCT,THIRD,55,GENERAL,JYVDRBP,Saw,1348094,76207,0.16,0.02,92512,VENKATESAN S,ASPKR,510747,506764,232577,FALSE,2004
Dadra & Nagar Haveli and Daman & Diu,Kheda,BOBBILI SRINU_KEZ,THIRD,54,GENERAL,BLNDBHRTP,Box,1250052,3746,0.1,42.84,3680,RAJIV RANJAN SINGH ALIAS LALAN SINGH,AAAP,654613,422087,10846,FALSE,2014
Puducherry,Krishnanagar,DR.SHANMUGAM .A.R_AAR,THIRD,61,BL,RSP,Violin,1010706,19631,0.2,46.23,1839,SHANTANU THAKUR,SP,102436,552090,165620,FALSE,2019
Arunachal Pradesh,PALI,EESARI SURYAPRAKASH REDDY_EIT,MALE,61,ST,SWSSP,Chimney,1456077,3766,0.49,0.06,4970,M. K. RAGHAVAN,MDMK,729699,501376,59442,FALSE,2004
West Bengal,Mohanlalganj,VILAS SHRIPAT KHADSE_MZD,MALE,36,SC,RDD,Drill machine,1116908,4330,0.14,43.09,12764,SHAFI PARAMBIL,VCK,751671,336676,244689,FALSE,2004
Lakshadweep,Bhiwandi,HASIRUL_KJS,MALE,46,BL,RVP,Calculator,1252883,316,0.15,22.57,4944,AWADHESH PRASAD,INC,425679,526733,71388,TRUE,2019
Meghalaya,Sambalpur,TANAJI TUKARAM BHOJANE_BEX,MALE,46,ST,BHRTSP,Football player,1143159,1737,0.32,0.05,2021,ANURAG SINGH THAKUR,AITC,725534,380492,201257,FALSE,2024
Sikkim,Madhubani,GURBARN SINGH_XWD,MALE,40,SC,CPI,Belt,1456313,719505,40.72,0.46,2182,KADIYAM KAVYA,AIMIM,404493,648096,487029,TRUE,2014
Karnataka,Salempur,BRIJESH SHARMA_SXT,MALE,28,GENERAL,PMK,Tractor chalata kisan,1389995,4472,0.32,0.86,3571,GANESH SINGH,BJP,472481,228009,82861,FALSE,2009
Chhattisgarh,INDORE,ARJUN MUNDA_RMC,MALE,42,SC,SMSSMJP,Lunch box,1387211,1031,0.15,0.28,811,PUSHPENDRA SAROJ,BJP,709768,207310,222170,FALSE,2004
Karnataka,Bankura,PANKAJ KUMAR YADAV_HIH,THIRD,39,GENERAL,MLPOIRF,Bat,1159005,6100,0.13,0.31,14007,MANISH TEWARI,ASPKR,305616,300397,271294,FALSE,2004
Puducherry,Arunachal East,SAMIM ALI MOLLICK_EJZ,MALE,54,SC,IPGP,Truck,1365126,1173,0.62,3.77,426,THARANIVENTHAN M S,RLD,653808,492700,24396,FALSE,2019
Arunachal Pradesh,Ghatal,BENIRAM RAMCHAND FULBANDHE_RDA,MALE,30,ST,SP,Football,1249271,3167,0.38,0.1,3427,DEVESH SHAKYA,CPI(ML)(L),364085,445067,80870,FALSE,2019
Nagaland,Amritsar,MUNESHWAR TIWARI_CIH,THIRD,48,SC,MBCOI,Immersion rod,1111264,7619,0.19,0.65,42523,DR. RAJESH MISHRA,RJD,778071,368090,103844,FALSE,2024
Chhattisgarh,Ahmedabad East,SURAJ KUMAR_FNH,THIRD,47,GENERAL,JnP,Head phone,1102070,2241,3.6,0.39,1103,VIJAYAKUMAR (Alias) VIJAY VASANTH,HAMS,764132,368090,243715,FALSE,2024
Goa,Kheri,SHYAM KUMAR_RWF,FEMALE,59,ST,PMSP,Typewriter,1161596,3180,0.1,0.03,142984,KRISHNA PRASAD TENNETI,VCK,566630,290785,41510,FALSE,2004
Jammu and Kashmir,Kairana,JAY PRAKASH_OSN,THIRD,29,BL,RPC(S),Baby walker,1592011,487963,0.17,1.24,761,BANSURI SWARAJ,AGP,778721,509462,53784,FALSE,2004
Rajasthan,Buxar,DINESH AGRAWAL_XDT,THIRD,28,BL,DIGVBHP,Drum,1185151,1627,1.15,1.16,11334,JAGADISH SHETTAR,AJSUP,881341,591327,313094,FALSE,2024
Gujarat,Paschim Champaran,DR. BASWANANDAM DANDEPU_JNJ,THIRD,50,GENERAL,UKKD,Window,974566,20462,0.06,1.44,492535,NAVASKANI K,RLTP,313217,322538,120837,FALSE,2009
NCT OF Delhi,Medinipur,SHANMUGAVELU_GKB,MALE,67,SC,IMP,Lotus,676408,493762,0.26,0.3,486,AJAY TAMTA,JKN,782495,256657,221473,FALSE,2024
Jharkhand,KANGRA,CHINNAM ARUNA KUMAR_RSC,THIRD,51,ST,GSSP,Petrol pump,1089296,1239,0.05,0.51,351,VIJAYLAKSHMI DEVI,YSRCP,888202,360955,559905,FALSE,2019
